Game,Performance,Drive,Emulator,Update,Notes,Device
Crash Bandicoot N. Sane Trilogy,Great,Turnip 24.3.0 9v2,Skyline,1.0,Runs about 5-7 fps faster on Skyline,Pocket 5
Crash Bandicoot N. Sane Trilogy,Perfect,Turnip 24.1.0 R17,Sudachi,Latest,Vsync- immediate (off). Use asynchronous shaders – yes. CPU accuracy – unsafe.,Pocket 5
Crash Team Racing: Nitro-Fueled,Poor,Turnip 24.3.0 9v2,Citron,1.0,Crash at the start of the race,Pocket 5
Crash Team Racing: Nitro-Fueled,Perfect,Qualcomm 0.746.0,Skyline,1.0,"Docked mode, Force maximum clocks on and RP5 in High Performance gives smooth and stable 30fps",Pocket 5
Crash Team Racing: Nitro-Fueled,Great,Qualcomm 0.746.0,Skyline,1.0,"Updates/DLC not supported, 30fps in docked mode",Pocket 5
Crashlands,Perfect,Qualcomm 0.746.0,Sudachi,1.00.0.93.0,,Pocket 5
Crawl,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Perfect 60 FPS Docked,Pocket 5
Creepy Tale,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Perfect 60fps in docked mode,Pocket 5
Cris Tales,Great,Qualcomm 0.746.0,Yuzu,1.03,Perfect 30fps docked mode but some minor isual and audio glitches,Pocket 5
Crisis Core: Final Fantasy II Reunion,Great,Turnip 24.3.0 9v2,Citron,1.0.1,"Handheld Mode Accuracy Level : High Disk Shader Cache : On Force Maximum Clocks : On Use Async Shaders : On Audio : Cubeb Prologue is a little bit choppy at 18-30fps, but after the whole thing ran at 28-30 fps. Only thing that holds this back is intermittent blooming issues. I’ve been having trouble using cheats on Citron, but if anyone could help itd be greatly appreciated bc i have 30fps, no bloom, and no dof cheats that would definitely change htis from great to perfect",Pocket 5
Crosscode,Perfect,Turnip 24.3.0 9v2,Sudachi,Latest,"Played 2h, super smooth",Pocket 5
Crow Country,Perfect,Qualcomm 0.746.0,Yuzu,1.0,,Pocket 5
Crow Country,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Perfect 60fps in docked mode,Pocket 5
Crown Trick,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,"Perfect 60fps docked, looks great",Pocket 5
Cruis’n Blast,Perfect,Turnip 24.3.0 9v2,Sudachi,1.07,"Did one race, stable 60fps docked, put the unit in sleep for 45 mins mid-race",Pocket 5
Cruis’n Blast,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Crumble,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps in docked mode,Pocket 5
Crymachina,Perfect,Turnip 24.3.0 9v2,Sudachi,1.2.0,"Locked 30FPS in handheld mode, set graphics accuracy to high.",Pocket 5
Crypt Custodian,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Crypt Custodian,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Crysis Remastered,Poor,Qualcomm 0.746.0,Yuzu,1.7.0,Neither driver work both boot to menu but crash when game starts,Pocket 5
Crystal Breaker,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.0.2,Yuzu 278 (dc529a89a) Default parameters,Pocket 5
Ctr: Nitro Fueled,Perfect,Turnip 24.2.0 R19,Sudachi,1.0.15,game crashes before I can even start a race on a loading screen. If I go pass the loading (sometimes it happens) I just see a black screen,Pocket 5
Cult Of The Lamb,Perfect,Qualcomm 0.746.0,Citron,1.4.5 + DLC,Citron is back in development! 60 FPS Settings: Docked 1x Res. Force Maximum Clocks and Use Asynchronous Shaders On Everything Else Default.,Pocket 5
Cult Of The Lamb,Perfect,Qualcomm 0.746.0,Suyu,1.0,Sudachi with 9v2 didn’t work,Pocket 5
Cult Of The Lamb,Perfect,Qualcomm 0.746.0,Yuzu,1.4.6,60fps! Docked mode @ mostly 60fps with dips when entering rooms.,Pocket 5
Cuphead,Perfect,Qualcomm 0.746.0,Yuzu,1.2.5,Perfect 60fps docked,Pocket 5
Cuphead In The Delicious Last Course,Perfect,Turnip 24.3.0 9v2,Sudachi,1.3.7,,Pocket 5
Curse Of The Dead Gods,Playable,Turnip 24.3.0 9v2,Citron,1.0,"0.75x Resolution, Docked for almost constant 30 FPS. Occasionally crashes, some minor graphical issues",Pocket 5
Cursed To Golf,Perfect,Qualcomm 0.746.0,Sudachi,1.0,,Pocket 5
Cyberage,Perfect,GPU 0.746.0 Qualcomm,Citron,1.0,,Pocket 5
Dadish,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps in docked mode,Pocket 5
Dadish 3D,Great,Qualcomm 0.746.0,Yuzu,1.0,"40-60fps n slowdown runs great, slightly better framerates in handheld",Pocket 5
Danganronpa: Trigger Happy Havoc Anniversary Edition,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60 docked,Pocket 5
Dark Devotion,Poor,Qualcomm 0.746.0,Yuzu,1.0,Boots to black screen on Yuzu and Sudachi with both drivers,Pocket 5
Dark Souls 1,Perfect,Turnip 24.3.0 9v2,Sudachi,1.3.0,"Needs a graphics fix, run in handheld mode or you will get gfx glitches (can’t see items on the ground etc.)",Pocket 5
Dark Souls Remastered,Great,Turnip 24.3.0 9v2,Sudachi,Updated and Patched to fix the low light issues,"Occasional crashing (maybe once an hour or so), but performance is otherwise good.",Pocket 5
Darkest Dungeon II,Playable,Qualcomm 0.746.0,Sudachi,1.0,(playable docked if you start a game in handheld first),Pocket 5
Darkest Dungeon II,Playable,Qualcomm 0.746.0,Yuzu,1.0,loading can be slow,Pocket 5
Darksiders I,Playable,Turnip 24.3.0 9v2,Citron,1.0,Somehow almost worse than Darksiders II,Pocket 5
Darksiders II,Playable,Turnip 24.3.0 9v2,Citron,1.0,"It’s amazing that it even runs, but it has tons of painful stuttering and FPS dips constantly throughout the gameplay. Playable, but Painful",Pocket 5
Darksiders Warmastered Edition,Poor,Turnip 24.3.0 9v2,Sudachi,1.0,.5x resolution handheld mode 30fps for opening scene then drops to 11 then to 5,Pocket 5
Darkwood,Perfect,Qualcomm,Sudachi,1.0.5,,Pocket 5
Date Everything!,Perfect,default,Yuzu,1.0,Prologue can crash if mashed through. Bit slow but fully functional.,Pocket 5
Dave The Diver,Perfect,Qualcomm 0.746.0,Yuzu,v1.0.4.1040,"Stable gameplay at 30 FPS in Docked Mode. Resolution set to 1× (1080p) for better performance and native fidelity. FIFO sync mode enabled to prevent screen tearing. Window Adaptation Filter set to Bicubic for smoother visuals, with FSR Sharpness at 10% for subtle image enhancement. FXAA anti-aliasing and 2× anisotropic filtering ensure clean visuals. Disk shader cache, asynchronous shaders, and reactive flushing enabled for maximum stability. Force Max Clocks disabled. No significant FPS drops experienced.",Pocket 5
Dave The Diver,Perfect,Qualcomm 0.746.0,Yuzu,v1.0.3.978 + DLC,"Great gameplay at 30 FPS with occasional frame drops to 22-25 FPS at certain mid-game locales. Docked mode ON, 1 x Resolution, Sync Mode ON, Asynchronous shaders ON, Disk Shader Cache ON. I tried this on Citron 0.6 and the latest Sudachi (March 2025), and latest Yuzu with stock drivers seems to perform the most stable with no 0.0 FPS bugs or erratic stutters",Pocket 5
Dave The Diver,Perfect,Qualcomm 0.746.0,Sudachi,v1.0.3.972 w/ DLC,"Game is packed into an XCI with the newest update and DLC. I am using keys and firmware 19.0.0. Using docked mode because the switch ersion is capped at 30fps. undocked instills some blur to text, use AMD fidelity if you prefer undocked.",Pocket 5
Dave The Diver,Perfect,Qualcomm 0.746.0,Yuzu,Latest update + DLC,30fps with occasional stutters but overall nothing that hinders gameplay. Docked mode ON; 1x Resolution; Sync Mode ON; Asynchronous shaders ON; Disk shader Chache ON; Force Max Clocks ON;,Pocket 5
Dave The Diver,Playable,Qualcomm 0.746.0,Yuzu,1.0,,Pocket 5
Dave The Diver,Perfect,Turnip 23.2.0,Yuzu,v1.0.3.972 AND DLC,Using latest prod keys and firmware. Docked with asychronous shaders ON.,Pocket 5
Dawn Of The Monsters,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 30fps docked,Pocket 5
Dead Cells,Perfect,Turnip 24.3.0 9v2,Citron,1.23.2 + DLC,Citron is back in development! 60 FPS Settings: Docked 1x Res. Force Maximum Clocks and Use Asynchronous Shaders On If Audio Is Stuttering/Crackling Change Output To cubeb Everything Else Default.,Pocket 5
Dead Cells,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Dead Cells,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Dead Cells,Perfect,Turnip 24.3.0 9v2,Yuzu,1.25.0,Play amazing,Pocket 5
Dead End Job,Perfect,Qualcomm 0.746.0,Yuzu,1.0.5,Perfect 60fps in docked mode,Pocket 5
Death Elevator 2,Poor,Turnip 24.3.0 9v2,Suyu,1.0,Wont start,Pocket 5
Death Mark,Perfect,Turnip 24.3.0 9v2,Citron,1.02,It’s a isual novel so not intensive. Seems to be running perfectly.,Pocket 5
Death Tales,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Perfect 60fps in docked mode,Pocket 5
Death’s Door,Perfect,Turnip 24.3.0 9v2,Citron,1.1.6,Citron 0.4 Mainline (be191f740) (Havent tried the “optimized”) Locked 30fps 1x Res. Handheld mode (720p) Everything default so far Played to the first boss,Pocket 5
Death’s Gambit: Afterlife,Perfect,Qualcomm 0.746.0,Yuzu,1.0.6,Perfect 60fps docked,Pocket 5
Deemo -Reborn-,Poor,Turnip 24.3.0 9v2,Yuzu,1.0.3,Freezes before getting in game on Yuzu and Sudachi,Pocket 5
Deltarune,Perfect,Qualcomm 0.746.0,Sudachi,1.0,"If audio glitching, use cubeb audio output engine",Pocket 5
Deltarune,Perfect,Turnip 24.3.0 9v2,Citron,1.00a,1X docked. Works great. Played around 5 hours so far.,Pocket 5
Demon Turf,Playable,Qualcomm 0.746.0,Sudachi,1.1,FPS is between 15-30 but it actually feels ery good art style makes FPS not a problem imo,Pocket 5
Demon’s Tilt,Perfect,Turnip 24.3.0 9v2,Sudachi,1.3,Handheld mode Run at 90% CPU for stability,Pocket 5
Destroy All Humans!,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Destroy All Humans!,Poor,Qualcomm 0.746.0,Yuzu,1.0.1,No luck in Yuzu or Sudachi with either driver,Pocket 5
Destroy All Humans!,Playable,Turnip 24.3.4-Unified (@Mr_Purple_666),Yuzu,1.0,"Technically runs, around 20-30 fps. 1x Rez, mailbox, shaders on and max clock. Not a great experience for such a great game.",Pocket 5
Detective Pikachu Returns,Poor,Qualcomm 0.746.0,Sudachi,1.0,Needs default driver to work. Works flawlessly until the Jewel mission where it crashes when you go to the second floor of the mansion.,Pocket 5
Detective Pikachu Returns,Perfect,Qualcomm 0.746.0,Sudachi,1.0,Needs default driver to work,Pocket 5
Devil Engine Complete Edition,Perfect,Turnip 24.3.0 9v2,Sudachi,1.03,,Pocket 5
Devil May Cry 1,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Devil May Cry 3 Special Edition,Great,Qualcomm 0.746.0,Yuzu,1.0.1,Almost perfect in docked mode just has an audio delay during cutscenes that does not effect gameplay,Pocket 5
Dex,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60dps docked,Pocket 5
Diablo 2: Resurrected,Playable,Qualcomm 0.746.0,Citron,1.0.3.0,You need the specific “Offline file” for your update-file to update the game. Install the “Offline file” as a mod. Load the exefs folder and it should install.,Pocket 5
Diablo 3: Eternal Collection,Perfect,Turnip 24.3.0 9v2,Eden,1.0,No issues first 10 mins of game. 60 fps default settings,Pocket 5
Diablo 3: Eternal Collection,Perfect,Turnip 24.3.0 9v2,Yuzu,2.7.7.92380,,Pocket 5
Diablo III,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Diablo III,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Dicey Dungeons,Perfect,Turnip 24.3.0 9v2,Citron,1.10.1,,Pocket 5
Die After Sunset,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Perfect 30dps handheld,Pocket 5
Diesel Legacy: The Brazen Age,Poor,Turnip 24.3.0 9v2,Citron,1.0,Stuck on title screen,Pocket 5
Digimon Cyber Sleuth,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,Stable 60fps in docked mode,Pocket 5
Digimon Story Cyber Sleuth: Complete Edition,Perfect,Qualcomm 0.746.0,Yuzu,1.0.3,Perfection in docked mode,Pocket 5
Digimon Survive,Playable,Qualcomm 0.746.0,Yuzu,1.0,Runs about 15fps but its a turn based rpg so it doesnt matter much,Pocket 5
Digimon World -Next Order-,Perfect,Qualcomm 0.746.0,Yuzu,1.0,"Perfect 60 docked, one of the best looking games I have tried so far on rp5",Pocket 5
Disco Elysium – The Final Cut,Great,Qualcomm 0.746.0,Sudachi,1.0.1,Newest Sudachi Might take a couple of resets for shaders to build You can tune settings this is what worked for me 30fps stable in-game Accuracy Level – High .5x Res Vsync – mailbox Disk shader on force clocks on synch shaders on Reactive flush on Cpu accuracy – Paranoid,Pocket 5
Disco Elysium – The Final Cut,Poor,Turnip 24.3.0 9v2,Yuzu,1.0.9,No luck in Yuzu or Sudachi with either driver,Pocket 5
Disgaea 5 Complete,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Intro movie is choppy and is around 30-50 fps I recommend skipping it rest is smooth 60 unless loading new area,Pocket 5
Disney Dreamlight Valley,Perfect,Qualcomm 0.746.0,Sudachi,1.0,,Pocket 5
Disney Epic Mickey: Rebrushed,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,A good amount of framerate dips but definitely playable with a little patience,Pocket 5
Disney Illusion Island,Perfect,Qualcomm 0.746.0,Yuzu,1.1.1,"Perfect 60 docked mode, looks amazing",Pocket 5
Divinity Original Sin 2,Playable,Turnip 24.3.0 R5,Citron,1.0.9,Game runs between 15fps-30fps. Playable but not fun. -FPSGODSpeed,Pocket 5
Doctor Who: Edge Of Reality,Poor,Qualcomm 0.746.0,Yuzu,1.0.7,Freezes way too much to play in Yuzu and Sudachi with Qualcomm and Turnip 9v2,Pocket 5
Dodgeball Academia,Perfect,Qualcomm 0.746.0,Citron,1.0,Perfect 60fps,Pocket 5
Dogman: Mission Impawssible,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,"Played 3 levels, plays great",Pocket 5
Dogurai,Perfect,Qualcomm 0.746.0,Yuzu,1.0,plays perfectly,Pocket 5
Don’t Starve Nintendo Switch Edition,Perfect,Qualcomm 0.746.0,Yuzu,1.0.10,"1x Docked, runs at locked 60 fps.",Pocket 5
Don’t Starve Together,Poor,Turnip 24.3.0 9v2,Yuzu,1.0,Will not even boot into game on Yuzu or Sudachi with either driver,Pocket 5
Donkey Kong Country Returns HD,Great,Qualcomm 0.746.0,Sudachi,1.0.13,VSync off. Accuracy high. Handheld mode. High performance. Near perfect 60fps gameplay.,Pocket 5
Donkey Kong Country Returns HD,Perfect,Qualcomm 0.746.0,Citron,1.0,VSync off. Accuracy high. Handheld mode. High performance. Near perfect 60fps gameplay.,Pocket 5
Donkey Kong Country: Tropical Freeze,Perfect,Turnip 24.3.0 9v2,Yuzu,1.02,Perfect 60fps,Pocket 5
Donkey Kong Country: Tropical Freeze,Perfect,Qualcomm 0.746.0,Yuzu,1.0.2,Perfect 60fps docked,Pocket 5
Donkey Kong Country: Tropical Freeze,Perfect,Turnip 24.3.0 9v2,Citron,1.0.2,60 fps perfect and no graphical glitches,Pocket 5
Donut Dodo,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,plays perfectly,Pocket 5
Donuts’n’justice,Great,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps docked with audio glitches,Pocket 5
Doom (2016),Playable,Turnip 24.1.0 R18,Citron,1.0,"Citron 0.4 (be191f740) Do not activate updates Docked : No CPU debugging : Yes Resolution : 0.5x Force GPU max frequencies : Yes AMD Fidelity FX goes to crash Also works with Turnip 24.1.0 R17_v2 FPS : 15~25, so playable but not enjoyable",Pocket 5
Doom + Doom 2,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Doom 64,Perfect,Qualcomm 0.746.0,Yuzu,1.0,"Perfect 25fps docked, that is the locked framerate since its a port of an n64 game",Pocket 5
Doraemon Dorayaki Shop Story,Great,Qualcomm 0.746.0,Yuzu,1.04,Game hangs when attempting to access “Site” menu.,Pocket 5
Dorfromantik,Perfect,Qualcomm 0.746.0,Citron,I’m not sure.,"Runs perfect, you should play this game.",Pocket 5
Double Dragon Neon,Perfect,Turnip 24.3.0 9v2,Citron,1.0,"720p, standard performance setting",Pocket 5
Dragon Ball FighterZ,Perfect,Turnip 24.1.0 R18,Citron,1.0,Needs DBZ crash fix mod to stop crashing when using supers https://www.mediafire.com/file/llur8mo8d2zln93/DBFZ_540p_crash_fix.zip/file Default everything .75 res,Pocket 5
Dragon Ball FighterZ,Poor,Turnip 24.3.0 9v2,Yuzu,0.1.38,"Game either crashes at beginning of game, or when a special move is used",Pocket 5
Dragon Ball FighterZ,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,"Turnip 25 rev5 did not work, 24.3.0 R9v2 worked.",Pocket 5
Dragon Ball Z: Kakarot,Perfect,Turnip 25.2.0 R1,Sudachi,1.0,,Pocket 5
Dragon Ball Z: Kakarot,Great,Turnip 24.3.0 9v2,Yuzu,"1.50, 15DLC",Works great framerate wise but there is a weird red glow over the screen during some battles. Handheld mode mostly 30fps with occasional dropped frames.,Pocket 5
Dragon Marked For Death: Advanced Attackers,Perfect,Turnip 24.3.0 9v2,Sudachi,3.1.5,,Pocket 5
Dragon Quest Builders,Great,Turnip 23.3.0-devel,Sudachi,1.0,"This is the only driver I found, where it doesn’t have a weird green border issue with the item bar. The game has a bug found in all emulators where some items will show the wrong icon(even on PC) but otherwise the game works fine for the most part.",Pocket 5
Dragon Quest Builders 2,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,"Plays Perfect at 35fps , no graphical glitches",Pocket 5
Dragon Quest III HD-2D Remake,Great,Turnip 24.3.0 9v2,Sudachi,1.0,"Audio can be a little crackly, but overall ery playable.",Pocket 5
Dragon Quest III HD-2D Remake,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,has some stuttering in the open world,Pocket 5
Dragon Quest III HD-2D Remake,Great,Turnip 24.3.0 9v2,Yuzu,1.0,"Can crash sometimes, performance is pretty much locked 30fps tho.",Pocket 5
Dragon Quest Monsters,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,"Perfect 30dps docked looks great, some minor audio stutter that probably will go away in handheld mode but worth it to play docked",Pocket 5
Dragon Quest X,Playable,Turnip 24.3.0 9v2,Yuzu,1.0.1,20-30fps handheld mode but its in japanese,Pocket 5
Dragon Quest XI S: Echoes Of An Elusive Age,Great,Turnip 24.3.0 9v2,Yuzu,1.0,No textures in Qualcomm – need to use Turnips,Pocket 5
Dragon’s Dogma: Dark Arisen,Great,Qualcomm 0.746.0,Yuzu,1.0,Shockingly works amazing! Couple minor dips but its pretty much locked to 30 in docked mode,Pocket 5
Draw A Stickman: Epic,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps docked,Pocket 5
Dreamscaper,Poor,Turnip 24.3.0 9v2,Yuzu,1.1.1.5,Crashes after a few mins of play on Yuzu and Sudachi,Pocket 5
Dredge,Poor,Turnip 24.3.0 9v2,Eden,1.5.3,"It’s a coin toss on whether the game will load. Most of the time you will make it to the title screen, but when you try to progress to the actual game, it will: 1. Load fine 2. Black screen 3. Crash and shut down the entire device",Pocket 5
Dredge,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Dredge,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Dredge,Great,Turnip 24.3.0 9v2,Sudachi,1.5.3,"Graphics accuracy set to high. Handheld Mode. 30FPS, minor dips. Async shaders improve performance a bit.",Pocket 5
Dredge,Perfect,Turnip 9v2,Citron,1.5.3,,Pocket 5
Drone Pilot: Extreme Flight Simulator,Great,Turnip 24.3.0 9v2,Suyu,1.0,60fps,Pocket 5
Dros,Poor,Turnip 24.3.0 9v2,Yuzu,1.0.1,No luck with either driver in Yuzu or Sudachi,Pocket 5
Drova Forsaken Kin,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Duck Detective: The Secret Salami,Perfect,Qualcomm 0.746.0,Eden,1.1.2,Accuracy Level needs to be set to High or the game will freeze when Tutorial pop ups are shown,Pocket 5
Duck Detective: The Secret Salami,Poor,Turnip 24.3.0 9v2,Yuzu,1.1.2,"Tested on Yuzu and Sudachi with Qualcomm and Turnips, game freezes ery quickly",Pocket 5
Duck Game,Perfect,Turnip 24.1.0 R18,Yuzu,1.0,"11/10 party game, runs great. Small graphics issues in certain screens in the game but they dont affect gameplay.",Pocket 5
Dungeonoid 2: Awakening,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.0.2,Yuzu 278 (dc529a89a) Default parameters,Pocket 5
Dungeons And Doomknights,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Dungeons Of Dreadrock – The Dead King’s Secret,Great,Qualcomm 0.746.0,Citron,v1.0.1,Citron 6b9dd40 Default parameters,Pocket 5
Dungeons Of Dreadrock – The Dead King’s Secret,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Dungreed,Perfect,Qualcomm 0.746.0,Yuzu,1.0.3,Perfect 60fps docked,Pocket 5
Dusk,Great,Turnip 24.3.0 9v2,Sudachi,1.0,"Perfect 60fps, you do have to swipe up to stop freezes every once and while.",Pocket 5
Dusk Diver,Great,Turnip 24.3.0 9v2,Yuzu,1.0,Handheld mode .75x resolution almost perfect 30fps occasional dips,Pocket 5
Dust & Neon,Great,Qualcomm 0.746.0,Yuzu,Yuzu 278 (dc529a89a) All default parameters,,Pocket 5
Dust & Neon,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 30fps docked,Pocket 5
Dust: An Elysian Tail,Perfect,Turnip 24.3.0 9v2,Sudachi,1.06.181214,,Pocket 5
